filename,xgrid,ygrid,lead_name,start,end
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,I,237,661
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,II,661,1085
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,III,1085,1509
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,aVR,1509,1933
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,aVL,237,661
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,aVF,661,1085
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V1,1085,1509
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V2,1509,1933
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V3,237,661
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V4,661,1085
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V5,1085,1509
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,V6,1509,1933
/Users/fdeepan/Documents/Projects/Mini-project3/Data/12lead/JS00001-0,33.91505901189556,33.91505901189556,fullV4,237,1933
